post_id,word,lemma,pos,lemma_p,tag
21,Representative,Representative,PROPN,Representative_PROPN,NNP
21,Karen,Karen,PROPN,Karen_PROPN,NNP
21,Whitsett,Whitsett,PROPN,Whitsett_PROPN,NNP
21,of,of,ADP,of_ADP,IN
21,Michigan,Michigan,PROPN,Michigan_PROPN,NNP
21,.,.,PUNCT,._PUNCT,.
21,So,so,ADV,so_ADV,RB
21,glad,glad,ADJ,glad_ADJ,JJ
21,you,you,PRON,you_PRON,PRP
21,are,be,AUX,be_AUX,VBP
21,getting,get,VERB,get_VERB,VBG
21,better,well,ADJ,well_ADJ,JJR
21,!,!,PUNCT,!_PUNCT,.
21,https://t.co/v6z46rUDtg,https://t.co/v6z46rudtg,X,https://t.co/v6z46rudtg_X,ADD
22,Congress,Congress,PROPN,Congress_PROPN,NNP
22,must,must,AUX,must_AUX,MD
22,approve,approve,VERB,approve_VERB,VB
22,the,the,DET,the_DET,DT
22,deal,deal,NOUN,deal_NOUN,NN
22,",",",",PUNCT,",_PUNCT",","
22,without,without,ADP,without_ADP,IN
22,all,all,PRON,all_PRON,DT
22,of,of,ADP,of_ADP,IN
22,the,the,DET,the_DET,DT
22,nonsense,nonsense,NOUN,nonsense_NOUN,NN
22,",",",",PUNCT,",_PUNCT",","
22,today,today,NOUN,today_NOUN,NN
22,.,.,PUNCT,._PUNCT,.
22,The,the,PRON,the_PRON,DT
22,longer,long,ADV,long_ADV,RBR
22,it,it,PRON,it_PRON,PRP
22,takes,take,VERB,take_VERB,VBZ
22,",",",",PUNCT,",_PUNCT",","
22,the,the,PRON,the_PRON,DT
22,harder,hard,ADJ,hard_ADJ,JJR
22,it,it,PRON,it_PRON,PRP
22,will,will,AUX,will_AUX,MD
22,be,be,AUX,be_AUX,VB
22,to,to,PART,to_PART,TO
22,start,start,VERB,start_VERB,VB
22,up,up,ADP,up_ADP,RP
22,our,our,PRON,our_PRON,PRP$
22,economy,economy,NOUN,economy_NOUN,NN
22,.,.,PUNCT,._PUNCT,.
22,Our,our,PRON,our_PRON,PRP$
22,workers,worker,NOUN,worker_NOUN,NNS
22,will,will,AUX,will_AUX,MD
22,be,be,AUX,be_AUX,VB
22,hurt,hurt,VERB,hurt_VERB,VBN
22,!,!,PUNCT,!_PUNCT,.
23,https://justthenews.com/politics-policy/all-things-trump/trump-serves-meals-border-troops-picks-texas-governors-endorsement,https://justthenews.com/politics-policy/all-things-trump/trump-serves-meals-border-troops-picks-texas-governors-endorsement,NOUN,https://justthenews.com/politics-policy/all-things-trump/trump-serves-meals-border-troops-picks-texas-governors-endorsement_NOUN,NN
24,RT,RT,PROPN,RT_PROPN,NNP
24,@FLOTUS,@FLOTUS,PROPN,@FLOTUS_PROPN,NNP
24,:,:,PUNCT,:_PUNCT,:
24,Wishing,wish,VERB,wish_VERB,VBG
24,you,you,PRON,you_PRON,PRP
24,all,all,DET,all_DET,PDT
24,a,a,PRON,a_PRON,DT
24,very,very,ADV,very_ADV,RB
24,#,#,SYM,#_SYM,$
24,MerryChristmas,MerryChristmas,PROPN,MerryChristmas_PROPN,NNP
24,!,!,PUNCT,!_PUNCT,.
24,May,may,AUX,may_AUX,MD
24,your,your,PRON,your_PRON,PRP$
24,day,day,NOUN,day_NOUN,NN
24,be,be,AUX,be_AUX,VB
24,filled,fill,VERB,fill_VERB,VBN
24,with,with,ADP,with_ADP,IN
24,peace,peace,NOUN,peace_NOUN,NN
24,",",",",PUNCT,",_PUNCT",","
24,love,love,NOUN,love_NOUN,NN
24,and,and,CCONJ,and_CCONJ,CC
24,happiness,happiness,NOUN,happiness_NOUN,NN
24,!,!,PUNCT,!_PUNCT,.
24,https://t.co/yE6Vejihfo,https://t.co/yE6Vejihfo,NOUN,https://t.co/yE6Vejihfo_NOUN,NNS
25,The,the,DET,the_DET,DT
25,United,United,PROPN,United_PROPN,NNP
25,States,States,PROPN,States_PROPN,NNP
25,of,of,ADP,of_ADP,IN
25,America,America,PROPN,America_PROPN,NNP
25,is,be,AUX,be_AUX,VBZ
25,going,go,VERB,go_VERB,VBG
25,to,to,PART,to_PART,TO
25,take,take,VERB,take_VERB,VB
25,back,back,ADV,back_ADV,RB
25,a,a,DET,a_DET,DT
25,lot,lot,NOUN,lot_NOUN,NN
25,of,of,ADP,of_ADP,IN
25,what,what,PRON,what_PRON,WP
25,was,be,AUX,be_AUX,VBD
25,stolen,steal,VERB,steal_VERB,VBN
25,from,from,ADP,from_ADP,IN
25,it,it,PRON,it_PRON,PRP
25,by,by,ADP,by_ADP,IN
25,other,other,ADJ,other_ADJ,JJ
25,countries,country,NOUN,country_NOUN,NNS
25,and,and,CCONJ,and_CCONJ,CC
25,",",",",PUNCT,",_PUNCT",","
25,frankly,frankly,ADV,frankly_ADV,RB
25,",",",",PUNCT,",_PUNCT",","
25,by,by,ADP,by_ADP,IN
25,incompetent,incompetent,ADJ,incompetent_ADJ,JJ
25,U.S.,U.S.,PROPN,U.S._PROPN,NNP
25,leadership,leadership,NOUN,leadership_NOUN,NN
25,.,.,PUNCT,._PUNCT,.
25,We,we,PRON,we_PRON,PRP
25,'re,be,AUX,be_AUX,VBP
25,going,go,VERB,go_VERB,VBG
25,to,to,PART,to_PART,TO
25,take,take,VERB,take_VERB,VB
25,back,back,ADV,back_ADV,RB
25,our,our,PRON,our_PRON,PRP$
25,wealth,wealth,NOUN,wealth_NOUN,NN
25,and,and,CCONJ,and_CCONJ,CC
25,we,we,PRON,we_PRON,PRP
25,'re,be,AUX,be_AUX,VBP
25,take,take,VERB,take_VERB,VBP
25,back,back,ADV,back_ADV,RB
25,a,a,DET,a_DET,DT
25,lot,lot,NOUN,lot_NOUN,NN
25,of,of,ADP,of_ADP,IN
25,the,the,DET,the_DET,DT
25,companies,company,NOUN,company_NOUN,NNS
25,that,that,PRON,that_PRON,WDT
25,left,leave,VERB,leave_VERB,VBD
25,…,…,PUNCT,…_PUNCT,NFP
27,RT,RT,PROPN,RT_PROPN,NNP
27, , ,SPACE, _SPACE,_SP
27,@mrddmiaIf,@mrddmiaIf,PROPN,@mrddmiaIf_PROPN,NNP
27,Trump,Trump,PROPN,Trump_PROPN,NNP
27,did,do,AUX,do_AUX,VBD
27,n't,not,PART,not_PART,RB
27, , ,SPACE, _SPACE,_SP
27,incite,incite,VERB,incite_VERB,VB
27,the,the,DET,the_DET,DT
27,January,January,PROPN,January_PROPN,NNP
27,6th,6th,NOUN,6th_NOUN,NN
27,riot,riot,NOUN,riot_NOUN,NN
27,",",",",PUNCT,",_PUNCT",","
27,what,what,PRON,what_PRON,WP
27,'s,be,AUX,be_AUX,VBZ
27,the,the,DET,the_DET,DT
27,actual,actual,ADJ,actual_ADJ,JJ
27,crime,crime,NOUN,crime_NOUN,NN
27,and,and,CCONJ,and_CCONJ,CC
27, , ,SPACE, _SPACE,_SP
